0,1,2,3,4,5,6,7,8,9,10,11
8,"3,96","12,5",8,"3,93","12,7","7,9","3,86",13,"7,9","3,87","13,2"
4,"5,37","16,9","4,2","5,35","17,2","4,1","5,39","17,2",4,"5,35","17,3"
"6,3","5,47","17,1","6,3","5,39","17,5",6,"5,39","17,2","6,1","5,41","17,4"
"9,4","5,16","16,2","9,4","5,16","16,7","9,4","5,17","16,7","9,1","5,16","16,7"
"8,2","5,16",17,8,"5,13","17,5","8,1","5,1","17,4","7,8","5,12","17,5"
11,"4,67","14,3","10,7","4,6","14,7","10,6","4,52","14,6","10,5","4,58","14,7"
"6,8","5,2","16,2","6,8","5,16","16,7","6,9","5,13","16,8","6,7","5,19","16,8"
9,"4,65","14,7",9,"4,57",15,"8,9","4,58",15,"8,6","4,55","15,1"
"6,1","5,22","16,3",6,"5,16","16,9","6,1","5,14","16,9",6,"5,21","16,9"
"6,4","5,13","15,9","6,4","5,11","16,4","6,4","5,11","16,4","6,3","5,07","16,3"
"5,6","4,47","13,3","5,5","4,45","13,6","5,3","4,46","13,6","5,3","4,44","13,7"
"8,2","5,22",16,"8,2","5,14","16,5",8,"5,14","16,5","7,8","5,16","16,5"
"5,7","5,1","14,9","5,6","5,05","15,3","5,5","5,02","15,4","5,4","5,05","15,5"
"9,8","5,25","16,1","9,8","5,15","16,6","8,1","5,1","13,8","9,4","5,16","16,6"
"5,9","5,28","15,8","5,8","5,25","16,4","5,7","5,26","16,4","5,6","5,29","16,2"
"6,6","4,65","12,8","6,4","4,59","13,2","6,3","4,58","13,1","6,4","4,57","13,2"
"5,7","4,42","14,5","5,5","4,31","14,9","5,5","4,3","14,9","5,4","4,32","14,8"
"6,7","4,38","13,1","6,5","4,32","13,4","6,5","4,32","13,6","6,5","4,31","13,5"
"6,8","4,67","15,6","6,6","4,57","15,8","6,5","4,55",16,"6,5","4,56","15,9"
"9,6","5,64",17,"9,5","5,58","17,5","9,3","5,5","17,4","9,2","5,46","17,5"
